SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
ATIVO,BRF S.A.,ITAJAÍ,01.838.723/0001-27,Emp. Adm. Part. - Alimentos,PRIVADO,SC
ATIVO,524 PARTICIPAÇOES SA,RIO DE JANEIRO,01.851.771/0001-55,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,RJ
CANCELADA,OAHAKA PARTICIPACOES SA,SÃO PAULO,01.856.751/0001-77,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,BV LEASING - ARRENDAMENTO MERCANTIL S/A,SÃO PAULO,01.858.774/0001-10,Arrendamento Mercantil,PRIVADO,SP
ATIVO,CSU DIGITAL S.A.,BARUERI,01.896.779/0001-38,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
CANCELADA,AES ELPA SA,BARUERI,01.917.705/0001-30,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SP
ATIVO,LIGHT ENERGIA S.A.,RIO DE JANEIRO,01.917.818/0001-36,Energia Elétrica,PRIVADO,RJ
CANCELADA,525 PARTICIPAÇOES SA,RIO DE JANEIRO,01.919.008/0001-19,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,RJ
ATIVO,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA,SALVADOR,01.938.783/0001-11,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,BA
CANCELADA,BRAUSTAM HOTEIS REIT SA,CAUCAIA,01.946.997/0001-30,Hospedagem e Turismo,PRIVADO,CE
CANCELADA,ORBIS TRUST SECURITIZADORA DE CREDITOS S/A,RIO DE JANEIRO,01.948.039/0001-06,Securitização de Recebíveis,PRIVADO,RJ
ATIVO,SUL 116 PARTICIPAÇÕES S.A.,RIO DE JANEIRO,01.957.772/0001-89,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,RJ
CANCELADA,OPPORTUNITY LESTE SA,RIO DE JANEIRO,01.957.774/0001-78,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,RJ
CANCELADA,ELETRORIVER S.A.,SALVADOR,01.968.293/0001-68,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,BA
